Subject,type,rowID,member,areamanagerid,areaid,areadesc,startdataarea,enddataarea,usageid,location,deliveryAddress,cityName,lat,long,stateAbbr,zipCode
https://opendata.rdw.nl/resource/t5pc-eb34/row-9k98.8xfh.m4j2,https://opendata.rdw.nl/resource/t5pc-eb34,row-9k98.8xfh.m4j2,t5pc-eb34,687,687_KOU,Garage Kousteensedijk (Middelburg),20131010,29991231,GARAGEP,89,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-krwk.9cks.9tp2,https://opendata.rdw.nl/resource/t5pc-eb34,row-krwk.9cks.9tp2,t5pc-eb34,2062,345_ARIE,Garage Arie van Hensbergen (Veenendaal),20131105,29991231,GARAGEP,90,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-ud8a~fkir-aug8,https://opendata.rdw.nl/resource/t5pc-eb34,row-ud8a~fkir-aug8,t5pc-eb34,2449,106_TRIA,Garage Triade (Assen),20131107,29991231,GARAGEP,91,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-6k5s~4ecd_3gxn,https://opendata.rdw.nl/resource/t5pc-eb34,row-6k5s~4ecd_3gxn,t5pc-eb34,2448,14_OSSENM,Garage Ossenmarkt (Groningen),20130916,29991231,GARAGEP,92,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-s5rf~uq6z.v72m,https://opendata.rdw.nl/resource/t5pc-eb34,row-s5rf~uq6z.v72m,t5pc-eb34,2448,363_P21,Garage Amsterdamse Poort P21 (Amsterdam),20131118,29991231,GARAGEP,93,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-anpj_xu5y-t7ad,https://opendata.rdw.nl/resource/t5pc-eb34,row-anpj_xu5y-t7ad,t5pc-eb34,2448,363_WEST,"""Garage Westergasfabriek, voorheen Westerpark (Amsterdam)""",20131121,29991231,GARAGEP,94,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-vs4a_en2r~8pvd,https://opendata.rdw.nl/resource/t5pc-eb34,row-vs4a_en2r~8pvd,t5pc-eb34,2479,606_NWPA,Garage Nieuwe Passage (Schiedam),20141113,29991231,GARAGEP,95,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-76bh-f5tq-nwf8,https://opendata.rdw.nl/resource/t5pc-eb34,row-76bh-f5tq-nwf8,t5pc-eb34,2062,599_WPC,Garage World Port Center (Rotterdam),20131105,29991231,GARAGEP,96,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-hcut.spgs.3433,https://opendata.rdw.nl/resource/t5pc-eb34,row-hcut.spgs.3433,t5pc-eb34,2448,518_NEWB,Garage CS New Babylon (Den Haag),20131125,29991231,GARAGEP,97,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-58tf-td73_q4r5,https://opendata.rdw.nl/resource/t5pc-eb34,row-58tf-td73_q4r5,t5pc-eb34,2448,597_JORIS,Garage Jorishof (Ridderkerk),20150729,29991231,GARAGEP,98,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-uqtu~wg8a_tmjv,https://opendata.rdw.nl/resource/t5pc-eb34,row-uqtu~wg8a_tmjv,t5pc-eb34,2062,984_GOUD,Garage Gouden Leeuw (Venray),20141024,29991231,GARAGEP,99,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-p2mw-jt6r.jhq5,https://opendata.rdw.nl/resource/t5pc-eb34,row-p2mw-jt6r.jhq5,t5pc-eb34,2461,518_BAD,Garage Strand (Den Haag),20131114,29991231,GARAGEP,100,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-f4eu.b2xk-nuww,https://opendata.rdw.nl/resource/t5pc-eb34,row-f4eu.b2xk-nuww,t5pc-eb34,2485,202_VELP,Garage Velperpoort (Arnhem),20150204,29991231,GARAGEP,101,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-qav7~ub25-f5b9,https://opendata.rdw.nl/resource/t5pc-eb34,row-qav7~ub25-f5b9,t5pc-eb34,2448,362_STAD,Garage Stadsplein (Amstelveen),20131118,29991231,GARAGEP,102,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-a5ed_v2jp-9jmz,https://opendata.rdw.nl/resource/t5pc-eb34,row-a5ed_v2jp-9jmz,t5pc-eb34,687,687_GEER,Garage De Geere (Middelburg),20131010,29991231,GARAGEP,103,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-vdmq.fcts-z5pn,https://opendata.rdw.nl/resource/t5pc-eb34,row-vdmq.fcts-z5pn,t5pc-eb34,2461,622_LIES,Garage Liesveld (Vlaardingen),20131114,29991231,GARAGEP,104,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-nd9y~9ttb_fzt7,https://opendata.rdw.nl/resource/t5pc-eb34,row-nd9y~9ttb_fzt7,t5pc-eb34,2085,398_HEERHU,Heerhugowaard Centrum,20150522,29991231,GARAGEP,105,,,,,,
