Subject,areaid,enddataarea,rowID,member,startdataarea,usageid,areamanagerid,areadesc,type,location
row-c3rm~sa9j.gjcy,363_KOLK,29991231,row-c3rm~sa9j.gjcy,t5pc-eb34,20131122,GARAGEP,2448,"""Garage Nieuwendijk, voorheen De Kolk (Amsterdam)""",t5pc-eb34,113
row-gpac_qp2u-vcq8,106_CITA,29991231,row-gpac_qp2u-vcq8,t5pc-eb34,20131107,GARAGEP,2449,Garage Citadel (Assen),t5pc-eb34,220
row-f4eu.b2xk-nuww,202_VELP,29991231,row-f4eu.b2xk-nuww,t5pc-eb34,20150204,GARAGEP,2485,Garage Velperpoort (Arnhem),t5pc-eb34,101
row-pxaz_txct_tfhf,473_CASI,29991231,row-pxaz_txct_tfhf,t5pc-eb34,20131111,GARAGEP,2453,Garage Holland Casino (Zandvoort),t5pc-eb34,176
row-h6n4-fyy5.842x,14_RADEM,29991231,row-h6n4-fyy5.842x,t5pc-eb34,20130916,GARAGEP,2448,Garage Rademarkt (Groningen),t5pc-eb34,200
row-nd9y~9ttb_fzt7,398_HEERHU,29991231,row-nd9y~9ttb_fzt7,t5pc-eb34,20150522,GARAGEP,2085,Heerhugowaard Centrum,t5pc-eb34,105
row-tgnw~8rmj_khqg,603_BOGP1,29991231,row-tgnw~8rmj_khqg,t5pc-eb34,20140101,GARAGEP,2448,Garage Bogaardplein P1 (Rijswijk),t5pc-eb34,5
row-iarm~2vuw_3upk,1916_DAM,29991231,row-iarm~2vuw_3upk,t5pc-eb34,20141120,GARAGEP,1916,Garage Damplein (Leidschendam-Voorburg),t5pc-eb34,120
row-29pj-6ejy~g55a,150_BOR,29991231,row-29pj-6ejy~g55a,t5pc-eb34,20131126,GARAGEP,2448,Garage De Boreel (Deventer),t5pc-eb34,116
row-3erq.kanf-x5x2,106_NEPT,29991231,row-3erq.kanf-x5x2,t5pc-eb34,20131107,GARAGEP,2449,Garage Neptunusplein (Assen),t5pc-eb34,18
