"poradi","poskytovatel","druh_podpory_kod","druh_podpory_popis","rok","stav_podpory","vyse_podpory"
"198","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2019","PRI","3100000.00"
"199","MZV","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2017","CER-1","27000.00"
"200","MZV","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","PRI","0.00"
"201","MK0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","CER-1","2870000.00"
"202","MK0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2019","PRI","2870000.00"
"203","URV","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2018","CER-1","51126000.00"
"204","URV","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2019","PRI","64006000.00"
"205","URV","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","CER-1","1350000.00"
"206","URV","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2019","PRI","1500000.00"
"207","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","CER-1","500000.00"
"208","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2019","PRI","500000.00"
"209","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2018","CER-1","1669984000.00"
"210","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2019","PRI","1880475000.00"
"211","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","CER-1","15522000.00"
"212","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2019","PRI","1500000.00"
"213","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","CER-1","0.00"
"214","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2019","PRI","500000.00"
"215","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","CER-1","420000.00"
"216","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2019","PRI","420000.00"
"217","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","CER-1","2850000.00"
