Subject,type,rowID,member,id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto,modello,ultima_modifica_data,ora
row-8pke~q3ga-zfia,dr3m-v3by,row-8pke~q3ga-zfia,dr3m-v3by,35006164,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,16.00,2025-01-04T00:00:00,MARCA_BOLLO_VIRTUALE_001,3,2025-01-04T10:59:55,10
row-a7kd~9gae-9ni6,dr3m-v3by,row-a7kd~9gae-9ni6,dr3m-v3by,35006163,ABI03015,FinecoBank Banca Fineco S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.72,2025-01-04T00:00:00,solleciti,3,2025-01-04T10:59:37,10
row-iqz6~9axr.h72e,dr3m-v3by,row-iqz6~9axr.h72e,dr3m-v3by,35006162,ABI36964,BCC PAY S.p.A.,02030880153,Comune di Monza,20900,MI,50.00,2025-01-04T00:00:00,servizifunerari,3,2025-01-04T10:59:31,10
row-rs8c_6m9x-9p4u,dr3m-v3by,row-rs8c_6m9x-9p4u,dr3m-v3by,35006161,BIC32698,LIS Pay SPA,83000130159,Comune di Cesano Maderno,20811,MB,408.00,2025-01-04T00:00:00,TB_RIFIUTI,3,2025-01-04T10:59:30,10
row-kyp6~dym2~pdwh,dr3m-v3by,row-kyp6~dym2~pdwh,dr3m-v3by,35006160,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,170.88,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T10:59:28,10
row-99sj.e2px~7tqq,dr3m-v3by,row-99sj.e2px~7tqq,dr3m-v3by,35006159,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,78.20,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T10:59:27,10
row-vsxu_qxe7~dy9k,dr3m-v3by,row-vsxu_qxe7~dy9k,dr3m-v3by,35006158,PPAYITR1XXX,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.84,2025-01-04T00:00:00,solleciti,3,2025-01-04T10:59:22,10
row-hg6r.de8j_2wbe,dr3m-v3by,row-hg6r.de8j_2wbe,dr3m-v3by,35006157,BIC32698,LIS Pay SPA,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,13.66,2025-01-04T00:00:00,solleciti,3,2025-01-04T10:59:21,10
row-jx3r-vmhj.xmgb,dr3m-v3by,row-jx3r-vmhj.xmgb,dr3m-v3by,35006156,BIC32698,LIS Pay SPA,00220080162,Comune di Alzano Lombardo,24022,BG,29.40,2025-01-04T00:00:00,in_violazione_cds,3,2025-01-04T10:59:15,10
row-7zgs_8ym3.y7k6,dr3m-v3by,row-7zgs_8ym3.y7k6,dr3m-v3by,35006155,SIGPITM1XXX,MOONEY S.P.A.,00761890177,Comune di Brescia,25121,BS,317.23,2025-01-04T00:00:00,mensascolasticaprimaria,3,2025-01-04T10:59:10,10
row-7xaz-uf5p~vm8i,dr3m-v3by,row-7xaz-uf5p~vm8i,dr3m-v3by,35006153,BNLIITRR,Worldline Merchant Services Italia S.p.A.,80050050154,Regione Lombardia,20124,MI,198.20,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T10:58:56,10
